OrderID,CustomerID,OrderDate,TotalAmount,OrderStatus,PaymentMethod,ShippingAddressID
76,3201,2024-08-27 17:41:33.681643,1825.77,Shipped,Credit Card,5253
77,4127,2024-03-05 17:41:33.681648,1607.14,Cancelled,Bank Transfer,572
78,9804,2024-04-23 17:41:33.681655,456.62,Delivered,Credit Card,8504
79,4938,2025-02-08 17:41:33.681660,1702.78,Cancelled,PayPal,1607
80,4658,2024-03-15 17:41:33.681666,1573.41,Shipped,Bank Transfer,8821
81,6815,2024-09-22 17:41:33.681671,206.26,Cancelled,Credit Card,5085
82,4200,2024-03-04 17:41:33.681677,1991.34,Delivered,Bank Transfer,9676
83,9677,2024-06-15 17:41:33.681683,599.68,Cancelled,Bank Transfer,3677
84,5006,2025-01-27 17:41:33.681688,608.1,Cancelled,PayPal,2005
85,9699,2024-06-04 17:41:33.681694,593.04,Cancelled,Credit Card,3460
86,6324,2024-08-19 17:41:33.681700,294.74,Cancelled,PayPal,7483
87,7609,2024-09-17 17:41:33.681705,1688.65,Delivered,Bank Transfer,6411
88,7785,2024-06-19 17:41:33.681711,1115.31,Shipped,Credit Card,8453
89,2122,2024-06-17 17:41:33.681716,680.38,Cancelled,Credit Card,1256
90,4846,2024-04-10 17:41:33.681722,137.95,Delivered,Credit Card,3126
91,3780,2024-05-12 17:41:33.681727,1436.6,Shipped,PayPal,6213
92,3875,2024-06-27 17:41:33.681733,918.25,Delivered,Credit Card,7373
93,7902,2024-08-24 17:41:33.681738,1650.43,Cancelled,Bank Transfer,1442
94,2477,2024-12-13 17:41:33.681746,1410.49,Pending,Credit Card,3069
95,7169,2024-03-01 17:41:33.681756,1236.07,Pending,Credit Card,1146
96,7451,2024-11-07 17:41:33.681764,213.88,Shipped,Credit Card,7763
97,9945,2024-06-14 17:41:33.681774,1397.65,Pending,Bank Transfer,6414
98,4278,2024-04-18 17:41:33.681784,1297.09,Pending,PayPal,3364
99,6928,2024-07-25 17:41:33.681790,521.91,Delivered,Credit Card,5213
100,9261,2024-10-05 17:41:33.681795,456.43,Shipped,PayPal,7424
101,3065,2024-11-07 17:41:33.681801,1980.48,Cancelled,Credit Card,8031
102,2761,2025-02-11 17:41:33.681807,1574.82,Cancelled,Credit Card,7156
103,6950,2024-06-16 17:41:33.681812,1292.78,Shipped,PayPal,3414
104,6412,2024-10-26 17:41:33.681818,375.84,Pending,Bank Transfer,2133
105,1104,2025-02-23 17:41:33.681823,675.55,Pending,PayPal,4513
106,4632,2024-05-21 17:41:33.681828,1617.57,Cancelled,Bank Transfer,9122
107,5661,2024-07-13 17:41:33.681834,980.0,Shipped,Credit Card,8981
108,7605,2024-11-07 17:41:33.681840,1023.9,Cancelled,Bank Transfer,9553
109,2492,2024-04-07 17:41:33.681845,1550.02,Cancelled,PayPal,1295
110,979,2024-06-24 17:41:33.681851,1509.99,Pending,PayPal,9515
111,6395,2024-12-04 17:41:33.681857,1238.52,Shipped,Bank Transfer,7424
112,514,2024-11-06 17:41:33.681862,293.84,Cancelled,Bank Transfer,5623
113,3039,2025-02-15 17:41:33.681868,1396.38,Delivered,Bank Transfer,2009
114,4402,2025-01-15 17:41:33.681874,1428.63,Shipped,PayPal,7287
115,275,2024-08-05 17:41:33.681879,292.4,Pending,PayPal,7652
116,6029,2024-08-22 17:41:33.681885,135.33,Shipped,Credit Card,5009
117,7877,2024-04-29 17:41:33.681890,905.73,Cancelled,Credit Card,3975
118,9763,2024-04-15 17:41:33.681896,529.33,Delivered,PayPal,9824
119,6038,2025-02-23 17:41:33.681901,193.43,Pending,PayPal,1451
120,2769,2024-09-13 17:41:33.681907,503.73,Shipped,Bank Transfer,6515
121,1737,2024-06-19 17:41:33.681912,1386.07,Delivered,Bank Transfer,5624
122,8357,2025-01-13 17:41:33.681918,376.78,Pending,Bank Transfer,5944
123,7996,2025-01-26 17:41:33.681923,179.71,Shipped,Bank Transfer,4780
124,4285,2024-05-13 17:41:33.681929,1351.66,Delivered,Bank Transfer,5089
125,1361,2024-03-02 17:41:33.681935,1665.18,Pending,Bank Transfer,2452
126,5548,2024-04-15 17:41:33.681940,546.71,Delivered,Credit Card,3187
127,4370,2024-07-24 17:41:33.681946,1502.89,Shipped,Credit Card,1928
128,8413,2024-04-03 17:41:33.681952,521.44,Cancelled,Bank Transfer,1660
129,7370,2024-09-22 17:41:33.681957,1829.06,Cancelled,Credit Card,7414
130,868,2024-10-07 17:41:33.681963,268.32,Pending,Credit Card,898
131,7489,2024-09-07 17:41:33.681969,768.61,Shipped,Credit Card,1029
132,9581,2024-07-17 17:41:33.681974,616.96,Shipped,Bank Transfer,9960
133,3442,2024-07-15 17:41:33.681980,700.08,Cancelled,Credit Card,9333
134,6334,2024-12-12 17:41:33.681985,818.99,Shipped,Credit Card,973
135,894,2024-04-06 17:41:33.681991,899.5,Delivered,PayPal,5983
136,1950,2024-07-20 17:41:33.681998,305.79,Delivered,PayPal,7992
137,7801,2024-06-19 17:41:33.682008,1252.71,Shipped,Bank Transfer,8671
138,6396,2024-03-09 17:41:33.682017,1517.49,Shipped,PayPal,8647
139,1290,2024-09-13 17:41:33.682026,1922.86,Pending,PayPal,6178
140,9145,2024-04-13 17:41:33.682034,82.37,Cancelled,Bank Transfer,8768
141,3653,2024-04-09 17:41:33.682043,422.81,Shipped,Credit Card,2678
142,2047,2024-11-04 17:41:33.682052,657.39,Shipped,PayPal,8240
143,6698,2024-10-09 17:41:33.682062,36.96,Shipped,Bank Transfer,4880
144,1624,2024-05-25 17:41:33.682071,712.35,Pending,Bank Transfer,510
145,5525,2024-06-10 17:41:33.682081,1453.81,Shipped,Bank Transfer,412
146,9404,2024-04-15 17:41:33.682087,478.67,Pending,PayPal,9818
147,773,2024-10-30 17:41:33.682092,1150.81,Cancelled,Credit Card,3707
148,4990,2024-05-31 17:41:33.682097,624.45,Pending,Bank Transfer,9098
149,944,2024-09-06 17:41:33.682103,759.5,Cancelled,Bank Transfer,4992
150,952,2024-03-16 17:41:33.682109,1754.24,Pending,PayPal,430
151,2579,2025-02-17 17:41:33.682115,48.03,Pending,Bank Transfer,6225
152,5695,2024-12-25 17:41:33.682120,764.74,Shipped,Bank Transfer,8293
153,5946,2024-08-16 17:41:33.682129,1085.51,Cancelled,PayPal,11
154,5681,2024-10-27 17:41:33.682138,1846.6,Shipped,Credit Card,3257
155,4026,2024-09-25 17:41:33.682148,363.91,Shipped,Credit Card,9411
156,366,2025-01-22 17:41:33.682154,1087.84,Cancelled,Bank Transfer,4244
157,6313,2024-12-29 17:41:33.682159,1613.13,Delivered,Bank Transfer,6532
158,8858,2024-09-05 17:41:33.682165,1140.1,Cancelled,Bank Transfer,1233
159,8872,2024-07-22 17:41:33.682170,1760.66,Pending,PayPal,1933
160,6749,2024-04-04 17:41:33.682175,193.41,Delivered,PayPal,111
161,540,2025-02-02 17:41:33.682181,1198.1,Pending,Credit Card,2807
162,4134,2024-08-27 17:41:33.682186,1765.68,Delivered,PayPal,4975
163,8981,2024-10-31 17:41:33.682192,393.21,Delivered,Credit Card,3179
164,4278,2024-03-19 17:41:33.682198,1350.55,Pending,Credit Card,4122
165,1752,2024-03-05 17:41:33.682203,266.25,Pending,PayPal,1074
166,710,2025-02-25 17:41:33.682209,441.29,Cancelled,Bank Transfer,4147
167,9233,2024-12-29 17:41:33.682214,1866.51,Cancelled,Bank Transfer,3871
168,679,2024-09-14 17:41:33.682219,1441.42,Pending,Bank Transfer,8423
169,7886,2024-03-01 17:41:33.682224,1633.07,Cancelled,Credit Card,1427
170,9453,2025-01-09 17:41:33.682230,791.65,Delivered,PayPal,5458
171,4816,2024-08-14 17:41:33.682235,50.81,Delivered,Bank Transfer,6241
172,5156,2024-10-08 17:41:33.682241,1518.83,Pending,Credit Card,3436
173,8071,2024-06-20 17:41:33.682246,860.99,Pending,Credit Card,9522
174,5934,2024-06-30 17:41:33.682252,722.49,Delivered,Credit Card,56
175,2512,2025-01-13 17:41:33.682258,378.41,Pending,Bank Transfer,2949
176,4071,2024-12-19 17:41:33.682263,1374.86,Shipped,Bank Transfer,7766
177,91,2025-02-22 17:41:33.682268,1692.2,Cancelled,Bank Transfer,1569
178,7027,2024-09-18 17:41:33.682274,626.39,Cancelled,Bank Transfer,9809
179,7670,2024-09-04 17:41:33.682279,707.49,Cancelled,PayPal,8495
180,154,2024-03-16 17:41:33.682284,313.41,Pending,PayPal,7513
181,9258,2024-11-25 17:41:33.682290,1034.28,Delivered,Bank Transfer,6008
182,628,2024-04-30 17:41:33.682295,331.8,Shipped,Bank Transfer,6735
183,43,2024-09-13 17:41:33.682301,182.93,Shipped,Bank Transfer,9402
184,3015,2024-11-02 17:41:33.682308,1423.1,Shipped,Credit Card,9989
185,3496,2024-09-11 17:41:33.682317,1230.87,Pending,Credit Card,4482
186,8239,2024-09-27 17:41:33.682326,342.97,Shipped,PayPal,7262
187,9375,2024-09-25 17:41:33.682336,800.1,Cancelled,PayPal,5204
188,7188,2024-05-10 17:41:33.682344,1067.34,Shipped,Bank Transfer,3327
189,6353,2024-08-05 17:41:33.682350,297.81,Delivered,Bank Transfer,6870
190,4426,2024-04-06 17:41:33.682355,423.5,Delivered,Credit Card,3599
191,2646,2024-06-10 17:41:33.682361,1097.01,Shipped,Credit Card,5458
192,170,2024-04-02 17:41:33.682367,1043.37,Pending,Credit Card,9891
193,3129,2024-06-30 17:41:33.682373,292.76,Delivered,Credit Card,952
194,5673,2024-12-12 17:41:33.682378,1839.94,Delivered,PayPal,2088
195,1015,2024-06-26 17:41:33.682383,1865.37,Pending,Bank Transfer,9024
196,7297,2024-08-07 17:41:33.682389,1993.97,Pending,Credit Card,7241
197,5332,2024-06-02 17:41:33.682394,645.1,Delivered,Credit Card,7374
198,9584,2024-07-15 17:41:33.682400,1491.01,Cancelled,Credit Card,2339
199,2284,2025-01-30 17:41:33.682405,1636.93,Pending,PayPal,5997
200,8762,2025-01-01 17:41:33.682410,1990.66,Shipped,Credit Card,3638
201,3430,2024-07-11 17:41:33.682416,558.36,Pending,PayPal,6609
202,4985,2024-03-20 17:41:33.682422,521.66,Shipped,PayPal,692
203,3507,2024-11-21 17:41:33.682428,908.7,Shipped,Bank Transfer,3539
204,1483,2024-04-02 17:41:33.682433,667.85,Shipped,Credit Card,5705
205,9615,2024-11-28 17:41:33.682439,1325.32,Shipped,Bank Transfer,1407
206,226,2024-07-09 17:41:33.682444,112.35,Shipped,Credit Card,3081
207,9968,2024-05-10 17:41:33.682450,784.2,Pending,Credit Card,2170
208,291,2024-07-27 17:41:33.682455,786.89,Pending,PayPal,1830
209,5609,2024-12-24 17:41:33.682460,1753.34,Delivered,Credit Card,5718
210,1674,2024-09-11 17:41:33.682466,1111.15,Cancelled,PayPal,8856
211,326,2024-05-05 17:41:33.682472,1528.84,Delivered,PayPal,7232
212,3396,2025-01-08 17:41:33.682477,908.5,Cancelled,PayPal,9628
213,9577,2024-06-27 17:41:33.682482,606.41,Delivered,Credit Card,7914
214,2382,2024-10-26 17:41:33.682488,477.01,Delivered,PayPal,2687
215,7215,2024-11-19 17:41:33.682493,1513.52,Shipped,Credit Card,1730
216,9695,2024-12-04 17:41:33.682498,170.05,Cancelled,PayPal,839
217,1098,2024-05-02 17:41:33.682504,582.77,Pending,PayPal,6463
218,5685,2025-02-20 17:41:33.682510,1727.91,Shipped,Bank Transfer,9331
219,3492,2024-11-28 17:41:33.682515,1923.35,Delivered,Credit Card,6010
220,6198,2024-10-15 17:41:33.682525,84.71,Delivered,Credit Card,9532
221,2074,2024-07-06 17:41:33.682534,634.5,Pending,Credit Card,4570
222,7732,2025-01-14 17:41:33.682543,1112.17,Cancelled,Bank Transfer,2720
223,745,2024-03-03 17:41:33.682553,1339.36,Pending,Bank Transfer,6066
224,3289,2024-06-01 17:41:33.682558,1461.92,Pending,Credit Card,7490
225,4362,2024-07-20 17:41:33.682564,1874.72,Shipped,Credit Card,4170
226,2761,2024-08-22 17:41:33.682569,1085.91,Cancelled,Bank Transfer,1104
227,2596,2025-02-14 17:41:33.682574,120.1,Shipped,PayPal,2602
228,3299,2025-02-06 17:41:33.682580,406.17,Delivered,PayPal,4665
229,6840,2024-12-12 17:41:33.682585,521.82,Cancelled,Credit Card,349
230,9298,2025-01-11 17:41:33.682590,1868.49,Shipped,PayPal,4681
231,3617,2024-04-26 17:41:33.682596,1203.46,Cancelled,PayPal,1266
232,5658,2025-02-09 17:41:33.682601,1026.75,Cancelled,Credit Card,6074
233,5961,2024-05-10 17:41:33.682607,898.32,Cancelled,Credit Card,5676
234,3325,2024-09-07 17:41:33.682613,420.41,Shipped,Bank Transfer,2857
235,2441,2024-08-13 17:41:33.682619,835.0,Delivered,Credit Card,1441
236,5373,2024-07-10 17:41:33.682624,157.28,Pending,Bank Transfer,9654
237,7612,2024-04-16 17:41:33.682629,159.91,Pending,PayPal,8018
238,4541,2024-08-27 17:41:33.682635,1130.6,Cancelled,Credit Card,1049
239,5507,2024-04-08 17:41:33.682640,1626.78,Cancelled,Bank Transfer,8820
240,5293,2024-09-10 17:41:33.682646,1847.43,Cancelled,Credit Card,9067
241,9464,2024-07-31 17:41:33.682651,410.36,Pending,Bank Transfer,6265
242,99,2024-12-31 17:41:33.682657,791.89,Delivered,Credit Card,2729
243,5894,2024-06-02 17:41:33.682662,1178.3,Pending,Credit Card,4236
244,7260,2024-04-01 17:41:33.682668,1772.73,Cancelled,PayPal,3500
245,5350,2024-07-09 17:41:33.682673,1659.9,Cancelled,PayPal,9093
246,5717,2024-03-27 17:41:33.682678,813.52,Cancelled,Bank Transfer,8379
247,7588,2024-06-07 17:41:33.682684,1506.82,Cancelled,Credit Card,4364
248,2692,2024-03-30 17:41:33.682690,811.22,Shipped,Bank Transfer,5845
249,5990,2025-01-28 17:41:33.682695,305.98,Shipped,PayPal,7370
250,3688,2024-06-08 17:41:33.682701,1688.61,Pending,PayPal,5178
251,8190,2025-02-22 17:41:33.682706,1202.91,Cancelled,Credit Card,4456
252,5781,2024-05-12 17:41:33.682711,878.69,Delivered,Credit Card,2245
253,8969,2024-10-20 17:41:33.682717,419.05,Cancelled,PayPal,388
254,5178,2024-03-05 17:41:33.682723,975.73,Shipped,Credit Card,6212
255,4360,2024-07-21 17:41:33.682728,1529.6,Delivered,Credit Card,2655
256,8910,2024-03-31 17:41:33.682734,45.07,Shipped,Bank Transfer,6109
257,5042,2024-12-18 17:41:33.682739,208.34,Shipped,PayPal,2438
258,6422,2024-04-08 17:41:33.682745,1447.08,Cancelled,PayPal,9105
259,3105,2024-10-19 17:41:33.682750,572.78,Pending,PayPal,322
260,2221,2024-06-08 17:41:33.682756,1903.32,Delivered,Bank Transfer,8769
261,9841,2025-01-13 17:41:33.682762,1258.71,Pending,PayPal,602
262,2098,2024-03-22 17:41:33.682767,1207.12,Pending,Credit Card,3245
263,3507,2024-10-05 17:41:33.682773,952.36,Delivered,PayPal,4246
264,4044,2024-03-30 17:41:33.682778,557.68,Delivered,PayPal,1674
265,4592,2024-10-11 17:41:33.682784,662.35,Shipped,PayPal,6275
266,2997,2024-12-13 17:41:33.682790,1973.49,Pending,PayPal,733
267,5825,2024-10-20 17:41:33.682795,827.24,Cancelled,Credit Card,5880
268,887,2025-02-23 17:41:33.682800,240.68,Shipped,Credit Card,9981
269,7163,2024-05-09 17:41:33.682806,1361.05,Cancelled,Bank Transfer,9619
270,4927,2024-05-03 17:41:33.682811,852.78,Pending,Credit Card,7074
271,1033,2024-06-06 17:41:33.682817,717.72,Delivered,Bank Transfer,5892
272,5554,2024-03-20 17:41:33.682824,1397.8,Pending,PayPal,6031
273,8999,2024-03-14 17:41:33.682834,947.84,Pending,Credit Card,5742
274,5263,2024-10-21 17:41:33.682843,587.4,Shipped,Credit Card,5962
275,13,2025-02-01 17:41:33.682852,1822.85,Shipped,Credit Card,352
276,3689,2024-09-30 17:41:33.682862,1507.63,Shipped,PayPal,8255
277,4060,2024-12-04 17:41:33.682868,1611.23,Pending,Bank Transfer,5899
278,3350,2024-05-07 17:41:33.682873,1771.31,Cancelled,PayPal,3996
279,5489,2024-03-17 17:41:33.682879,346.67,Delivered,Credit Card,7543
280,1134,2024-09-18 17:41:33.682885,966.17,Pending,Credit Card,6900
281,3839,2024-10-11 17:41:33.682890,1432.76,Delivered,PayPal,8543
282,5643,2024-03-12 17:41:33.682895,1764.59,Pending,Bank Transfer,831
283,2563,2024-03-25 17:41:33.682901,280.8,Shipped,Bank Transfer,4673
284,4830,2024-11-19 17:41:33.682907,1286.46,Delivered,PayPal,60
285,2156,2024-09-02 17:41:33.682913,147.41,Delivered,Bank Transfer,3620
286,565,2024-09-17 17:41:33.682918,1822.8,Delivered,Credit Card,8034
287,6779,2024-12-26 17:41:33.682924,753.84,Shipped,PayPal,6897
288,9072,2024-08-10 17:41:33.682929,867.61,Shipped,PayPal,4622
289,4704,2024-11-10 17:41:33.682935,766.45,Delivered,Bank Transfer,9225
290,5820,2025-02-01 17:41:33.682940,1340.05,Delivered,Credit Card,1593
291,2078,2024-08-14 17:41:33.682945,766.58,Cancelled,Bank Transfer,9164
292,6791,2024-07-07 17:41:33.682951,882.74,Cancelled,Bank Transfer,926
293,1216,2024-03-31 17:41:33.682956,554.71,Pending,Bank Transfer,4963
294,8270,2024-05-11 17:41:33.682962,490.76,Cancelled,PayPal,8247
295,9854,2024-06-27 17:41:33.682968,1119.88,Delivered,Bank Transfer,532
296,6986,2024-05-08 17:41:33.682973,1507.17,Cancelled,Bank Transfer,9540
297,6181,2024-09-14 17:41:33.682979,158.84,Pending,PayPal,5919
298,6848,2025-02-08 17:41:33.682984,772.94,Delivered,Bank Transfer,1316
299,696,2024-07-19 17:41:33.682990,236.17,Delivered,Bank Transfer,1967
300,4613,2024-12-27 17:41:33.682996,184.39,Pending,Bank Transfer,5229
301,9804,2025-01-22 17:41:33.683001,331.93,Pending,Credit Card,8595
302,945,2025-02-24 17:41:33.683007,952.46,Shipped,Credit Card,9556
303,5746,2024-12-11 17:41:33.683012,298.39,Pending,Credit Card,5499
304,408,2024-04-15 17:41:33.683017,1705.39,Cancelled,PayPal,9721
305,6991,2024-12-14 17:41:33.683023,407.2,Pending,Credit Card,5086
306,3983,2024-08-23 17:41:33.683028,1626.72,Pending,PayPal,6349
307,247,2025-01-14 17:41:33.683034,1729.2,Shipped,Bank Transfer,7340
308,3684,2024-04-14 17:41:33.683039,1804.54,Shipped,Bank Transfer,389
309,5200,2024-08-19 17:41:33.683045,571.72,Delivered,Bank Transfer,5140
310,2081,2024-03-12 17:41:33.683052,1316.13,Delivered,Bank Transfer,6086
311,556,2024-09-12 17:41:33.683058,1420.01,Pending,Bank Transfer,4793
312,754,2024-04-25 17:41:33.683063,1371.41,Delivered,Bank Transfer,8993
313,4600,2024-12-21 17:41:33.683069,116.68,Pending,Credit Card,5119
314,6311,2024-05-29 17:41:33.683074,996.08,Shipped,Bank Transfer,612
315,4970,2024-10-13 17:41:33.683080,57.71,Delivered,Bank Transfer,6681
316,4237,2024-05-16 17:41:33.683085,1140.98,Shipped,Credit Card,8229
317,3146,2024-09-02 17:41:33.683091,194.76,Shipped,PayPal,7156
318,6146,2024-06-18 17:41:33.683096,984.88,Delivered,PayPal,8205
319,5069,2024-11-20 17:41:33.683102,1208.23,Pending,Bank Transfer,5728
320,1266,2024-07-27 17:41:33.683107,807.16,Cancelled,Bank Transfer,7415
321,9680,2024-04-30 17:41:33.683113,525.63,Shipped,Bank Transfer,1189
322,1793,2024-04-05 17:41:33.683118,130.19,Delivered,PayPal,5952
323,6801,2025-01-11 17:41:33.683138,843.53,Cancelled,Bank Transfer,9263
324,2751,2024-09-07 17:41:33.683147,786.15,Pending,PayPal,2043
325,657,2024-04-28 17:41:33.683157,1633.95,Shipped,Bank Transfer,8510
326,8712,2024-09-07 17:41:33.683166,347.18,Pending,PayPal,2465
327,8885,2024-08-25 17:41:33.683175,1286.51,Pending,PayPal,1132
328,1779,2024-04-26 17:41:33.683184,1995.29,Cancelled,Credit Card,5101
329,4142,2025-02-14 17:41:33.683192,1495.65,Delivered,Credit Card,9724
330,597,2024-05-06 17:41:33.683202,42.22,Delivered,PayPal,5195
331,2086,2024-06-15 17:41:33.683211,1886.28,Shipped,Bank Transfer,8130
332,2581,2024-09-12 17:41:33.683220,1888.01,Pending,PayPal,1960
333,9475,2024-09-11 17:41:33.683229,367.41,Shipped,Bank Transfer,3578
334,9257,2025-01-04 17:41:33.683239,1219.86,Pending,Credit Card,1262
335,7855,2024-03-11 17:41:33.683248,222.99,Cancelled,Bank Transfer,5071
336,8795,2024-09-10 17:41:33.683256,449.81,Shipped,Bank Transfer,9128
337,3385,2025-02-04 17:41:33.683266,1630.78,Shipped,Credit Card,1634
338,9225,2024-07-20 17:41:33.683272,360.19,Cancelled,PayPal,124
339,2775,2025-01-13 17:41:33.683278,214.5,Pending,Bank Transfer,4901
340,2262,2024-09-09 17:41:33.683283,678.08,Cancelled,PayPal,5975
341,9971,2024-10-08 17:41:33.683289,39.94,Delivered,Credit Card,1407
342,4159,2024-12-31 17:41:33.683294,773.43,Shipped,Bank Transfer,6037
343,9784,2024-11-28 17:41:33.683300,1226.06,Delivered,Bank Transfer,7869
344,8546,2024-05-09 17:41:33.683305,1257.62,Shipped,Credit Card,951
345,2144,2025-02-21 17:41:33.683311,1529.62,Cancelled,Bank Transfer,822
346,9502,2024-04-03 17:41:33.683316,628.03,Delivered,Bank Transfer,5921
347,401,2024-05-30 17:41:33.683322,1333.42,Shipped,Bank Transfer,4120
348,9364,2025-01-09 17:41:33.683327,1646.53,Cancelled,Credit Card,1053
349,5771,2024-11-05 17:41:33.683333,798.11,Pending,Bank Transfer,1407
350,9497,2024-11-12 17:41:33.683338,1664.24,Delivered,Credit Card,1253
